file_name,method_name,line_count,complexity,code_smell_detected
functional_saver_test.py,setUp,11,1,False
functional_saver_test.py,_get_tensors_by_task,16,5,False
functional_saver_test.py,test_resource_variable,18,1,False
functional_saver_test.py,test_resource_variable_use_localhost,25,4,False
functional_saver_test.py,test_to_proto,27,1,False
functional_saver_test.py,test_checkpoint_is_sharded_by_task,27,3,False
functional_saver_test.py,test_checkpoint_multi_device_using_localhost,31,4,True
functional_saver_test.py,test_single_task_save_singlehost_multidevice,43,5,True
strategy_gather_test.py,_make_indexed_slices,6,1,False
strategy_gather_test.py,_get_num_replicas_per_client,6,2,False
strategy_gather_test.py,_is_tpu_strategy,4,1,False
strategy_gather_test.py,_gather_same_shape_and_verify,16,3,False
strategy_gather_test.py,testGatherPerReplicaDense1D0Axis,5,1,False
strategy_gather_test.py,testGatherPerReplicaDense2D0Axis,5,1,False
strategy_gather_test.py,testGatherPerReplicaDense2D1Axis,5,1,False
strategy_gather_test.py,testGatherPerReplicaDense3D0Axis,5,1,False
strategy_gather_test.py,testGatherPerReplicaDense3D1Axis,5,1,False
strategy_gather_test.py,testGatherPerReplicaDense3D2Axis,5,1,False
strategy_gather_test.py,testGatherDiffShapeAtAxis0,21,2,False
strategy_gather_test.py,testGatherDiffShapeAtAxis1,21,2,False
strategy_gather_test.py,testGatherRaiseDiffShapeAtNonAxis,33,7,True
strategy_gather_test.py,testGatherRaiseSparse,15,2,False
strategy_gather_test.py,testGatherRaiseDifferentRank,49,10,True
strategy_gather_test.py,_all_gather_same_shape_and_verify,21,3,False
strategy_gather_test.py,testAllGatherPerReplicaDense1D0Axis,6,1,False
strategy_gather_test.py,testAllGatherPerReplicaDense2D0Axis,6,1,False
strategy_gather_test.py,testAllGatherPerReplicaDense2D1Axis,6,1,False
strategy_gather_test.py,testAllGatherPerReplicaDense3D0Axis,6,1,False
strategy_gather_test.py,testAllGatherPerReplicaDense3D1Axis,6,1,False
strategy_gather_test.py,testAllGatherPerReplicaDense3D2Axis,6,1,False
strategy_gather_test.py,testAllGatherDiffValueTPU,22,2,False
strategy_gather_test.py,testAllGatherDiffShapeAtAxis0,28,3,False
strategy_gather_test.py,testAllGatherDiffShapeAtAxis1,27,3,False
strategy_gather_test.py,testAllGatherNest,39,4,True
strategy_gather_test.py,testAllGatherNest1D0Axis,21,4,False
strategy_gather_test.py,testAllGatherRaiseDiffShapeAtNonAxis,37,8,True
strategy_gather_test.py,testAllGatherRaiseSparse,16,2,False
strategy_gather_test.py,testAllGatherRaiseDifferentRank,48,9,True
strategy_gather_test.py,testAllGatherGradient,31,2,True
strategy_gather_test.py,testAllGatherGradientNest,32,2,True
strategy_gather_test.py,run,2,1,False
strategy_gather_test.py,value_fn,3,1,False
strategy_gather_test.py,run,2,1,False
strategy_gather_test.py,value_fn,3,1,False
strategy_gather_test.py,run,2,1,False
strategy_gather_test.py,value_fn,3,1,False
strategy_gather_test.py,run,2,1,False
strategy_gather_test.py,run,2,1,False
strategy_gather_test.py,value_fn,2,1,False
strategy_gather_test.py,run,2,1,False
strategy_gather_test.py,replica_fn,4,1,False
strategy_gather_test.py,replica_fn,3,1,False
strategy_gather_test.py,value_fn,3,1,False
strategy_gather_test.py,run,4,1,False
strategy_gather_test.py,value_fn,3,1,False
strategy_gather_test.py,run,4,1,False
